id;Country;Name;Sector;;
;Germany;MAGAZINO ROBOTICS (EGFF);Industry;;
;Germany;MAGAZINO ROBOTICS (EGFF);Industry;;
;Austria;AFFORDABLE HOUSING RLBNW;Industry;;
;Lithuania;SMART METERING DEPLOYMENT;Energy;;
;Poland;BGK MBIL VI;Credit lines;;
;Poland;WIELKOPOLSKIE ONSHORE WIND;Energy;;
;Poland;WIELKOPOLSKIE ONSHORE WIND;Energy;;
;Poland;WIELKOPOLSKIE ONSHORE WIND;Energy;;
;;EIB-EIF BRIDGE FACILITY (INNOVFIN SMEG FACILITY);Credit lines;;
;Morocco;CAM-SMES & MID-CAPS AGRI AND RURAL DEVELOPMENT;Credit lines;;
;Czech Republic;PARDUBICE REGIONAL INFRASTRUCTURE IV;Urban development;;
;Czech Republic;PARDUBICE REGIONAL INFRASTRUCTURE IV;Transport;;
;Poland;EFL COVID19 CRISIS RESPONSE FOR SME&MIDCAPS PL;Credit lines;;
;Spain;CIE AUTOMOTIVE RDI & CONVERGENCE;Industry;;
;Montenegro;IDF COVID-19 RESPONSE FOR SMES AND MID-CAPS;Credit lines;;
;Italy;FOF MULTIREGIONAL SARDINIA - INTESA SAN PAOLO;Credit lines;;
;Germany;SOFTWARE AG DIGITAL INNOVATION;Services;;
;;SOFTWARE AG DIGITAL INNOVATION;Services;;
;Italy;BP ALTO ADIGE ABS COVID19 FOR SMES AND MIDCAPS;Credit lines;;
;Spain;POST DISASTER RECONSTRUCT & PREVENTION VALENCIA;Industry;;
;Italy;FCA PLUG-IN HYBRID ELECTRIC VEHICLES - COVID-19;Industry;;
;Spain;POST DISASTER RECONSTRUCT & PREVENTION VALENCIA;Urban development;;
;Spain;POST DISASTER RECONSTRUCT & PREVENTION VALENCIA;Agriculture, fisheries, forestry;;
;Spain;POST DISASTER RECONSTRUCT & PREVENTION VALENCIA;Water, sewerage;;
;Poland;MICROFLUIDIC TECHNOLOGY R&D (IDFF);Services;;
;Cameroon;SG AFRIQUE CENTRALE FACILITE DE FINANCEMENT;Credit lines;;
;Zambia;GREAT NORTH ROAD (T2) UPGRADE;Transport;;
;Poland;EU FUNDS CO-FINANCING 2014-2020 (PL);Telecom;;
;Poland;EU FUNDS CO-FINANCING 2014-2020 (PL);Services;;
;Poland;EU FUNDS CO-FINANCING 2014-2020 (PL);Transport;;
;Egypt;NBE LOAN FOR SMES AND MIDCAPS COVID-19;Credit lines;;
;Poland;EU FUNDS CO-FINANCING 2014-2020 (PL);Education;;
;Italy;FOF MULTIREGIONAL SARDINIA - BANCO DI SARDEGNA;Credit lines;;
;India;KANPUR METRO PROJECT;Transport;;
;Congo;SG AFRIQUE CENTRALE FACILITE DE FINANCEMENT;Credit lines;;
;Chad;SG AFRIQUE CENTRALE FACILITE DE FINANCEMENT;Credit lines;;
;Poland;SZCZECIN AFFORDABLE HOUSING INVESTMENT PLAN;Urban development;;
;Romania;ISP RO COVID-19 RESPONSE FOR SMES & MIDCAPS;Credit lines;;
;;EUROPEAN CIRCULAR BIOECONOMY FUND;Industry;;
;Germany;AUTOBAHN A49 FRITZLAR-OHMTAL DREIECK (PPP);Transport;;
;;EUROPEAN CIRCULAR BIOECONOMY FUND;Agriculture, fisheries, forestry;;
;Ireland;IRISH SMART METER IMPLEMENTATION PROGRAMME;Energy;;
;Spain;WORLDSENSING (EGFF);Services;;
;Spain;WORLDSENSING (EGFF);Services;;
;Greece;GREECE LOAN FOR CLIMATE ACTION&OTHER PRIORITIES;Credit lines;;
;Austria;AFFORDABLE HOUSING AUSTRIA BAWAG (PL);Urban development;;
;;SSA TB AND HIV MITIGATION PROGRAMME;Services;;
;Germany;DIGITALISIERUNG BRANDENBURG;Telecom;;
;Austria;RBI COVID19 LOAN FOR SMES AND MIDCAPS;Credit lines;;
;;RBI COVID19 LOAN FOR SMES AND MIDCAPS;Credit lines;;
;Austria;POWERTRAIN DEVELOPMENT AND TEST SYSTEMS RDI;Industry;;
;Italy;INTESA SANPAOLO COVID19 LOAN FOR SMES & MIDCAPS;Credit lines;;
;Poland;SZCZECIN AFFORDABLE HOUSING INVESTMENT PLAN;Urban development;;
;Austria;CITYJET REGIONAL ROLLING STOCK;Transport;;
;Poland;SZCZECIN AFFORDABLE HOUSING GREEN INFRA (NCFF);Urban development;;
;Germany;NEW CHARGING AND ENERGY STORAGE SOLUTIONS (EDP);Energy;;
;Italy;MMI (EGFF);Services;;
;Portugal;ELDERLY CARE INVESTMENT IN PORTUGAL;Health;;
;Lithuania;KAUNAS HEATING CAPEX PROGRAMME;Energy;;
;Italy;MMI (EGFF);Services;;
;;ITALIAN ENERGY EFFICIENCY FUND II;Transport;;
;Denmark;EVAXION BIOTECH (IDFF);Services;;
;Italy;UC COVID-19 RESPONSE FOR SMES & MIDCAPS;Credit lines;;
;;ITALIAN ENERGY EFFICIENCY FUND II;Industry;;
;Italy;CA ITALIA COVID-19 LOAN FOR SMES AND MIDCAPS;Credit lines;;
;;ITALIAN ENERGY EFFICIENCY FUND II;Energy;;
;Spain;SANIFIT (EGFF);Services;;
;;ITALIAN ENERGY EFFICIENCY FUND II;Energy;;
;;ITALIAN ENERGY EFFICIENCY FUND II;Transport;;
